limiter,burst_capacity,offered_rps,goodput_rps,reject_pct,served_late_pct,gate_delay_p99_ms,server_wait_p99_ms,downstream_peak_rps
token-bucket,1,113.2,31.2,72.4,0.0,0.0,0.0,100.0
token-bucket,2,113.2,33.4,70.5,0.0,0.0,10.0,110.0
token-bucket,4,113.2,35.0,69.1,0.0,0.0,30.0,130.0
token-bucket,8,113.2,38.4,66.1,0.0,0.0,70.0,170.0
token-bucket,12,113.2,41.2,63.6,0.0,0.0,110.0,210.0
token-bucket,16,113.2,44.4,60.8,0.0,0.0,150.0,250.0
token-bucket,20,113.2,47.8,57.8,0.0,0.0,190.0,290.0
token-bucket,28,113.2,33.6,52.5,17.8,0.0,270.0,370.0
token-bucket,40,113.2,31.4,43.8,28.4,0.0,390.0,490.0
token-bucket,80,113.2,25.4,15.4,62.2,0.0,790.0,610.0
leaky-bucket,1,113.2,31.2,72.4,0.0,0.0,0.0,100.0
leaky-bucket,2,113.2,33.6,70.3,0.0,10.0,0.0,100.0
leaky-bucket,4,113.2,35.2,68.9,0.0,30.0,0.0,100.0
leaky-bucket,8,113.2,38.4,66.1,0.0,70.0,0.0,100.0
leaky-bucket,12,113.2,41.6,63.3,0.0,110.0,0.0,100.0
leaky-bucket,16,113.2,44.8,60.4,0.0,150.0,0.0,100.0
leaky-bucket,20,113.2,48.0,57.6,0.0,190.0,0.0,100.0
leaky-bucket,28,113.2,33.6,51.9,18.4,270.0,0.0,100.0
leaky-bucket,40,113.2,31.4,43.5,28.8,390.0,0.0,100.0
leaky-bucket,80,113.2,25.4,15.2,62.4,790.0,0.0,100.0
