policy,offered_rps,goodput_rps,shed_pct,served_late_pct,p99_served_ms,shed_wait_p50_ms,wasted_pct
fifo,50.0,50.0,0.0,0.0,10.0,0.0,0.0
fifo,75.2,75.2,0.0,0.0,10.0,0.0,0.0
fifo,100.0,100.0,0.0,0.0,10.0,0.0,0.0
fifo,125.0,19.2,20.0,64.6,998.0,504.0,80.8
fifo,150.0,11.6,33.3,58.9,1657.0,833.0,88.4
fifo,200.0,7.8,50.0,46.1,2481.0,1250.0,92.2
fifo,300.2,5.8,66.7,31.4,3303.0,1667.0,94.2
tail-drop,50.0,50.0,0.0,0.0,10.0,0.0,0.0
tail-drop,75.2,75.2,0.0,0.0,10.0,0.0,0.0
tail-drop,100.0,100.0,0.0,0.0,10.0,0.0,0.0
tail-drop,125.0,100.0,20.0,0.0,200.0,0.0,0.0
tail-drop,150.0,100.0,33.3,0.0,200.0,0.0,0.0
tail-drop,200.0,100.0,50.0,0.0,200.0,0.0,0.0
tail-drop,300.2,100.0,66.7,0.0,200.0,0.0,0.0
expire,50.0,50.0,0.0,0.0,10.0,0.0,0.0
expire,75.2,75.2,0.0,0.0,10.0,0.0,0.0
expire,100.0,100.0,0.0,0.0,10.0,0.0,0.0
expire,125.0,100.0,20.0,0.0,200.0,192.0,0.0
expire,150.0,100.0,33.3,0.0,200.0,190.0,0.0
expire,200.0,100.0,50.0,0.0,200.0,195.0,0.0
expire,300.2,100.0,66.7,0.0,200.0,193.0,0.0
lifo,50.0,50.0,0.0,0.0,10.0,0.0,0.0
lifo,75.2,75.2,0.0,0.0,10.0,0.0,0.0
lifo,100.0,100.0,0.0,0.0,10.0,0.0,0.0
lifo,125.0,100.0,20.0,0.0,16.0,2489.0,0.0
lifo,150.0,100.0,33.3,0.0,17.0,2487.0,0.0
lifo,200.0,100.0,50.0,0.0,10.0,2495.0,0.0
lifo,300.2,100.0,66.7,0.0,13.0,2497.0,0.0
