policy,offered_rps,critical_offered_rps,critical_success_pct,background_success_pct,critical_p99_ms,background_p99_ms,critical_slo_met,total_goodput_rps
blind,50.2,12.3,100.0,100.0,10.0,10.0,yes,50.2
blind,100.2,25.4,100.0,100.0,10.0,10.0,yes,100.2
blind,150.2,37.1,70.8,68.7,200.0,200.0,no,104.0
blind,200.2,49.4,51.1,52.3,200.0,200.0,no,104.2
blind,300.0,74.2,32.3,35.4,200.0,200.0,no,104.0
blind,400.2,99.8,25.3,26.3,200.0,200.0,no,104.2
blind,500.2,124.0,20.0,21.1,200.0,200.0,no,104.2
priority,50.2,12.3,100.0,100.0,10.0,10.0,yes,50.2
priority,100.2,25.4,100.0,100.0,10.0,10.0,yes,100.2
priority,150.2,37.1,100.0,59.1,200.0,200.0,yes,104.0
priority,200.2,49.4,100.0,36.3,200.0,200.0,yes,104.2
priority,300.0,74.2,99.7,12.9,200.0,200.0,yes,103.1
priority,400.2,99.8,93.3,3.5,200.0,200.0,no,103.8
priority,500.2,124.0,80.8,1.1,200.0,200.0,no,104.2
