window_start_ms,route_a_success_pct,route_b_success_pct,frontend_queue,service_a_queue,service_b_queue,database_queue
0,100.0,100.0,0,0,0,0
100,100.0,100.0,0,0,0,0
200,100.0,100.0,0,0,0,0
300,100.0,100.0,0,0,0,0
400,100.0,100.0,0,0,0,0
500,100.0,100.0,0,0,0,0
600,100.0,100.0,0,0,0,0
700,100.0,100.0,0,0,0,0
800,100.0,100.0,0,0,0,0
900,100.0,100.0,0,0,0,0
1000,100.0,100.0,0,0,0,0
1100,100.0,100.0,0,0,0,0
1200,100.0,100.0,0,0,0,0
1300,100.0,100.0,0,0,0,0
1400,100.0,100.0,0,0,0,0
1500,100.0,100.0,0,0,0,0
1600,100.0,100.0,0,0,0,0
1700,100.0,100.0,0,0,0,0
1800,100.0,100.0,0,0,0,0
1900,100.0,100.0,0,0,0,0
2000,100.0,100.0,0,0,0,0
2100,100.0,100.0,0,0,0,0
2200,100.0,100.0,0,0,0,0
2300,100.0,100.0,0,5,0,0
2400,0.0,100.0,1,10,0,0
2500,0.0,100.0,11,10,0,0
2600,0.0,100.0,12,9,0,0
2700,0.0,100.0,12,9,0,0
2800,0.0,100.0,21,10,0,0
2900,0.0,80.0,31,10,0,0
3000,0.0,0.0,41,10,0,0
3100,0.0,0.0,42,9,0,0
3200,0.0,0.0,42,9,0,0
3300,0.0,0.0,51,10,0,0
3400,0.0,0.0,61,10,0,0
3500,0.0,0.0,71,10,0,0
3600,0.0,0.0,73,9,0,0
3700,0.0,0.0,73,9,0,0
3800,0.0,0.0,81,10,0,0
3900,0.0,0.0,91,10,0,0
