window_start_ms,r1_success_pct,r3_success_pct,r1_db_attempts_rps,r3_db_attempts_rps
0,100.0,100.0,50.0,50.0
100,100.0,100.0,50.0,50.0
200,100.0,100.0,50.0,50.0
300,100.0,100.0,50.0,50.0
400,100.0,100.0,50.0,50.0
500,100.0,100.0,50.0,50.0
600,100.0,100.0,50.0,50.0
700,100.0,100.0,50.0,50.0
800,100.0,100.0,50.0,50.0
900,100.0,100.0,50.0,50.0
1000,100.0,100.0,50.0,50.0
1100,100.0,100.0,50.0,50.0
1200,100.0,100.0,50.0,50.0
1300,100.0,100.0,50.0,50.0
1400,100.0,100.0,50.0,50.0
1500,0.0,0.0,50.0,50.0
1600,0.0,0.0,50.0,50.0
1700,0.0,40.0,50.0,50.0
1800,0.0,100.0,50.0,50.0
1900,0.0,100.0,50.0,90.0
2000,0.0,100.0,50.0,150.0
2100,20.0,100.0,50.0,150.0
2200,100.0,100.0,50.0,150.0
2300,100.0,100.0,50.0,150.0
2400,100.0,100.0,50.0,300.0
2500,100.0,100.0,50.0,300.0
2600,100.0,100.0,50.0,300.0
2700,100.0,100.0,50.0,50.0
2800,100.0,100.0,50.0,50.0
2900,100.0,100.0,50.0,50.0
3000,100.0,100.0,50.0,50.0
3100,100.0,100.0,50.0,50.0
3200,100.0,100.0,50.0,50.0
3300,100.0,100.0,50.0,50.0
3400,100.0,100.0,50.0,50.0
3500,100.0,100.0,50.0,50.0
3600,100.0,100.0,50.0,50.0
3700,100.0,100.0,50.0,50.0
3800,100.0,100.0,50.0,50.0
3900,100.0,100.0,50.0,50.0
