window_start_ms,naive_route_a_pct,naive_route_b_pct,breaker_route_a_pct,breaker_route_b_pct,naive_db_attempts_rps,breaker_db_attempts_rps,frontend_edge_state,database_edge_state
0,100.0,100.0,100.0,100.0,50.0,50.0,0,0
100,100.0,100.0,100.0,100.0,50.0,50.0,0,0
200,100.0,100.0,100.0,100.0,50.0,50.0,0,0
300,100.0,100.0,100.0,100.0,50.0,50.0,0,0
400,100.0,100.0,100.0,100.0,50.0,50.0,0,0
500,100.0,100.0,100.0,100.0,50.0,50.0,0,0
600,100.0,100.0,100.0,100.0,50.0,50.0,0,0
700,100.0,100.0,100.0,100.0,50.0,50.0,0,0
800,100.0,100.0,100.0,100.0,50.0,50.0,0,0
900,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1000,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1100,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1200,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1300,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1400,100.0,100.0,100.0,100.0,50.0,50.0,0,0
1500,0.0,100.0,0.0,100.0,50.0,50.0,0,0
1600,0.0,100.0,0.0,100.0,50.0,50.0,0,0
1700,0.0,100.0,0.0,100.0,50.0,50.0,0,0
1800,0.0,80.0,0.0,100.0,50.0,50.0,0,0
1900,0.0,0.0,0.0,100.0,40.0,40.0,0,0
2000,0.0,0.0,0.0,100.0,100.0,100.0,0,0
2100,0.0,0.0,0.0,100.0,100.0,0.0,1,1
2200,0.0,0.0,0.0,100.0,100.0,0.0,1,1
2300,0.0,0.0,0.0,100.0,60.0,0.0,1,1
2400,80.0,80.0,20.0,100.0,150.0,0.0,1,1
2500,100.0,100.0,100.0,100.0,150.0,10.0,1,1
2600,100.0,100.0,100.0,100.0,280.0,100.0,2,2
2700,100.0,100.0,100.0,100.0,260.0,50.0,0,0
2800,100.0,100.0,100.0,100.0,50.0,50.0,0,0
2900,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3000,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3100,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3200,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3300,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3400,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3500,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3600,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3700,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3800,100.0,100.0,100.0,100.0,50.0,50.0,0,0
3900,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4000,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4100,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4200,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4300,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4400,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4500,100.0,100.0,100.0,100.0,50.0,50.0,0,0
4600,100.0,100.0,100.0,100.0,50.0,50.0,0,0
