deadline_ms,policy,success_pct,db_attempts_per_request,p50_resolution_ms,p99_resolution_ms
400,no-protection,13.4,6.34,1305.0,1305.0
400,breaker,39.4,0.79,105.0,905.0
400,budget,60.6,1.00,180.0,450.0
450,no-protection,13.6,6.34,1305.0,1305.0
450,breaker,39.9,0.79,105.0,905.0
450,budget,61.0,1.00,180.0,455.0
500,no-protection,13.7,6.34,1305.0,1305.0
500,breaker,40.3,0.79,105.0,905.0
500,budget,19.0,2.48,550.0,550.0
600,no-protection,14.5,6.34,1305.0,1305.0
600,breaker,41.6,0.79,105.0,905.0
600,budget,19.9,2.48,650.0,650.0
800,no-protection,15.6,6.34,1305.0,1305.0
800,breaker,45.5,0.79,105.0,905.0
800,budget,21.3,2.48,850.0,850.0
1000,no-protection,16.4,6.34,1305.0,1305.0
1000,breaker,48.3,0.79,105.0,905.0
1000,budget,16.4,4.64,1000.0,1000.0
