pattern,elapsed_s,total_requests,good_requests,bad_requests,p99_ms,bad_event_pct,burn_rate,budget_remaining_pct,alerting
baseline,1,1000,1000,0,184.0,0.00,0.00,100.00,false
baseline,2,1000,948,52,224.0,5.20,5.20,0.00,true
baseline,3,1000,0,1000,444.0,100.00,100.00,0.00,true
baseline,4,1000,0,1000,644.0,100.00,100.00,0.00,true
baseline,5,1000,920,80,264.0,8.00,8.00,0.00,true
bulkhead,1,1000,1000,0,154.0,0.00,0.00,100.00,false
bulkhead,2,1000,1000,0,184.0,0.00,0.00,100.00,false
bulkhead,3,1000,990,10,184.0,1.00,1.00,66.67,false
bulkhead,4,1000,990,10,184.0,1.00,1.00,50.00,false
bulkhead,5,1000,1000,0,184.0,0.00,0.00,60.00,false
timeout-budget,1,1000,1000,0,184.0,0.00,0.00,100.00,false
timeout-budget,2,1000,948,52,200.0,5.20,5.20,0.00,true
timeout-budget,3,1000,0,1000,200.0,100.00,100.00,0.00,true
timeout-budget,4,1000,0,1000,200.0,100.00,100.00,0.00,true
timeout-budget,5,1000,920,80,200.0,8.00,8.00,0.00,true
concurrency-limit,1,1000,1000,0,144.0,0.00,0.00,100.00,false
concurrency-limit,2,1000,1000,0,174.0,0.00,0.00,100.00,false
concurrency-limit,3,1000,980,20,172.0,2.00,2.00,33.33,true
concurrency-limit,4,1000,980,20,172.0,2.00,2.00,0.00,true
concurrency-limit,5,1000,1000,0,174.0,0.00,0.00,20.00,false
